label,text
neg,"  dame ! ! ! 1"
neg,"  thesaurus world sale ended "
pos,"  ight i let they lil white boy know. hahaha. "
pos," tweetlater pro is the way to go for those who really want to have it do the work for them..like me "
pos,"  you are loved "
neg," b&amp ; g is on repeat in my ipod. b&amp ; g needs to make a comeback ! "
neg," haha , i miss myy mattthew. "
pos," gmorning ooh giirll , mondays"
pos," moved into 3rd year todayy at school (y)"
pos," home. summer is going prettyy well. "
neg,"  thanks a lot. like hell i'm compiling and uploading that crap again. wait till the alpha ! "
neg," hey my inforks fam please send your best wishes to he has the stomach flu really bad "
pos,"  ahah my mum isn't back yet "
neg," the techno party that took place below my room last night completely destroyed my sleep. "
neg," what's wrong with these things ? i'm doing nothing about that stuffs. what lame ! ! from now , i will re - write my affiliations god ! help ! "
neg,"  it made me laugh though. i once was flying to rochester ny. my luggage went to manchester , england "
pos,"  thank you. i thought the pic looks a little dramatic. i think i look a little sad though , so i was thinking about changing it"
pos,"  i used to love plcl ! kubiac was the man back then. but he was even cooler when he grew up and changed his name to jerry on er "
pos,"  - to this lotion does wonders."
pos,"  let me do a titty grab now , and i will feel better. "
pos,"  happy bday ! ! hope u have a good one"
neg," the cops are still looking for mr pickering "
neg," no prob ur awesome. ... the hokie pokie is just a dance thats what it's all about "
pos,"  hahahaha..... does the happy meal have a veggie edition. ^^"
neg,"  yeahh.... cuz workin till late nite.. "
neg,"  that would suck all right. "
neg," back here on base for training "
pos,"  i know they're a pain. ah they do the trick when your training at home "
neg," well fun fun i do have dry socket from having my wisdom pulled. so guess it means more pain meds. "
pos,"  in mi ? wow , that's great to hear hope you had a chance to go outside &amp ; savor it."
neg,"  - i ended up having to order my much needed rainboots online due to lack of in store options "
neg,"  did i miss the fun ? "
neg," had lots of fun on the rides today.. but now we all feel sick.. "
pos,"  you're welcome to borrow mine any time you are in masterton "
neg," another headache and a night of no sleep back to oc tomorrow"
neg," something is wrong with my bb "
neg,"  awesome ! it's so amazing ! i would love to go to your concert but i can't do this i hope you like chile ! ! ! "
pos,"  : i am rooting for ya , kick their ass "
neg,"  oh i know. that's what i'm so pissed about "
pos," says good morning "
pos," found my new drugs here choci )) "
neg,"  thanx hun. yeah i know. hearing that was real encouraging yesterday but now it's finances. work's screwed up hubby's wages "
pos," trying to wrap up my work so i can relax at home "
pos," day one back on the unyummy food wagon went really well... and the weather was perfect for the m/c ride home. what will tomorrow bring ? "
pos," got me a new holister hoody in attempts to cheer me up. it's pretty comfy. it's working. "
pos,"  thanks that looks good "
neg," i so lost the little touch i had in halo 3 "
neg,"  well ... its just that my parents got in a fight infront of me it ruined my day a lot. wat happened to u ? "
neg," rest in peace , mark. "
pos," audio , video , pictures and words - now up and running at slowly coming into the 21st century "
pos," music is my medicine. "
neg," all my braids are finally out ! ! ! getting it in..missing some1 "
neg," with my wife at the hospital early stage contractions at least shes ok"
pos," despite the mass quantities of chips/salsa , tacos , beans and rice , i swear my huge , bloated stomach is due to the mug of water i drank "
pos,"  thats very of rude of you ! especially when she doesnt have a leg ! (oops thats rude of me ! )"
neg," we're wondering in the office : what's the new twitter ? nobody seems to be using the old one any more... (via agree fixreplies"
pos," on the way with to...somewhere... "
pos," morning all , finally got to stream media from pc to ps3 via wireless router , much easier than using a usb dongle , ah , techy simplicity. "
neg," fleetwood mac couldn't even walk past each other so i could get one pic with them in the same frame. "
neg,"  ah. did you know about the jonas brothers youtube account ? "
neg," still buzzing listening back to the session with the lads last night. i need to be in a band again "
neg," i wanted to go eat with you guys but my mom made me go to coolidge elementary to clean my old teacher's classroom "
neg," some super drunk bitch and her friends asked my coworker and me to make out. my coworker is a guy. they thought i was gay "
pos," hehe funny rumah u ade monkey , rumah i ade byk squirrel ! ! "
pos," countdown : 17 days 'till fairfax and 19 'till south jersey ! "
pos,"  lol you def have it worse , i just feel like hell and should stop tweeting about it , but i like to vent ! lol "
pos," off to see the offspring tonight ! "
pos," i'm writing about stuff right now "
pos,"  could you put up subtitles ? your english is quite good , but your accent is a little hard to understand because you speak fast. "
neg," photo : heeaathheer : i want so badly the stay positive shirt "
pos,"  i'm totally with ya. i blocked the negative from my stream "
pos," happy mothers day , love u mom "
pos," off to school for the last day , then summer break ! "
neg," doro is not suit for me... so sad.... all the messages i received became ? ? ? ? ? ? ? ....... "
pos,"  glad you are okay ! this video will make you smile "
neg,"  yeah~ i have *terrible* anxiety problems so during pugs i pretty much hold my breath until someone says im alright"
neg," made a sticky chocolate fudge cake....but burnt it "
pos,"  hahaha yerp never fails to crack me up , and the commentary is the funniest thing evar."
pos," i am glad that it is summer and no more school but weirdly excited for summerschool. i can get more credits "
pos,"  hey aaron whats going on ? met u in 2000 back in the day , loved your stuff. hope the carters are doing well "
neg," and a perfect rainbow never seemed so dull. "
pos,"  no worries "
pos," going back to la ! ! it is our last week for filming "
pos," and kaden just got back from a beautiful walk on part of the trinity trail with my neighbor and her dogs. now to relax a bit ! "
neg,"  how cute ! i'm so allregic to cats unfortunately "
neg," i got too much sun and now i feel sick. bleh. "
pos,"  my bday is thursday ! tauruses are the best "
pos," omg i just realized that i could have made my license plate 'careber' owell mcrmy is perfect ! "
neg," this mexican has no beans.. "
neg,"  i kinda don't know if it's a good thing. considering zach braff and sarah chalke are only doing 6 episodes or something "
pos," checking out , then family lake time. "
pos,"  check it out ! "
pos,"  i didn't have a chance to try that one yet - - but i have great things to say about talika's eye therapy patch ! stay tuned "
neg,"  not a bad oc on stock air. she stable under load ? ram good ? i miss my old oc hobby "
pos," oh , happy birthday to my girl ! she turns 17 today xoxo tell her happy birthday "
pos," on ma way to newark for a luncheon ! "
neg," omfg ! ! ! ! i lost my lyrics notebook and folder ! ! ! i'm freaking out here , that is all my work there ! ! ! ! d : someone is gonna kill me ! ! ! "
pos,"  welcome and i think i agree ; )"
neg,"  everything. this thunder is scaring me so much. "
neg,"  gah ! what happened to &quot ; recently played songs&quot ; list ! ? ? that , + radio&amp ; records closing , i can't see what anyone is playing ! ! "
